                         List of relations
 Schema |                 Name                  | Type  |  Owner   
--------+---------------------------------------+-------+----------
 public | agent_performance_daily               | table | example_db_user
 public | ai_reports                            | table | example_db_user
 public | applicants                            | table | example_db_user
 public | areas                                 | table | example_db_user
 public | attachments                           | table | example_db_user
 public | auditLogs                             | table | example_db_user
 public | autoSaves                             | table | example_db_user
 public | backgroundSyncQueue                   | table | example_db_user
 public | builderVerificationReports            | table | example_db_user
 public | businessVerificationReports           | table | example_db_user
 public | caseDeduplicationAudit                | table | example_db_user
 public | case_assignment_conflicts             | table | example_db_user
 public | case_assignment_history               | table | example_db_user
 public | case_assignment_queue_status          | table | example_db_user
 public | case_configuration_errors             | table | example_db_user
 public | case_status_history                   | table | example_db_user
 public | case_timeline_events                  | table | example_db_user
 public | cases                                 | table | example_db_user
 public | cities                                | table | example_db_user
 public | clientDocumentTypes                   | table | example_db_user
 public | clientProducts                        | table | example_db_user
 public | clients                               | table | example_db_user
 public | commission_batch_items                | table | example_db_user
 public | commission_calculations               | table | example_db_user
 public | commission_payment_batches            | table | example_db_user
 public | commission_rate_types                 | table | example_db_user
 public | countries                             | table | example_db_user
 public | departments                           | table | example_db_user
 public | designations                          | table | example_db_user
 public | documentTypeRates                     | table | example_db_user
 public | documentTypes                         | table | example_db_user
 public | dsaConnectorVerificationReports       | table | example_db_user
 public | error_logs                            | table | example_db_user
 public | field_user_commission_assignments     | table | example_db_user
 public | form_quality_metrics                  | table | example_db_user
 public | form_submissions                      | table | example_db_user
 public | form_validation_logs                  | table | example_db_user
 public | locations                             | table | example_db_user
 public | migrations                            | table | example_db_user
 public | mobile_device_sync                    | table | example_db_user
 public | mobile_notification_audit             | table | example_db_user
 public | mobile_notification_queue             | table | example_db_user
 public | nocVerificationReports                | table | example_db_user
 public | notificationTokens                    | table | example_db_user
 public | notification_batches                  | table | example_db_user
 public | notification_delivery_log             | table | example_db_user
 public | notification_preferences              | table | example_db_user
 public | notification_tokens                   | table | example_db_user
 public | notifications                         | table | example_db_user
 public | officeVerificationReports             | table | example_db_user
 public | performance_metrics                   | table | example_db_user
 public | pincodeAreas                          | table | example_db_user
 public | pincodes                              | table | example_db_user
 public | productDocumentTypes                  | table | example_db_user
 public | productVerificationTypes              | table | example_db_user
 public | products                              | table | example_db_user
 public | propertyApfVerificationReports        | table | example_db_user
 public | propertyIndividualVerificationReports | table | example_db_user
 public | query_performance                     | table | example_db_user
 public | rateHistory                           | table | example_db_user
 public | rateTypeAssignments                   | table | example_db_user
 public | rateTypes                             | table | example_db_user
 public | rates                                 | table | example_db_user
 public | refreshTokens                         | table | example_db_user
 public | residenceCumOfficeVerificationReports | table | example_db_user
 public | residenceVerificationReports          | table | example_db_user
 public | roles                                 | table | example_db_user
 public | scheduled_reports                     | table | example_db_user
 public | schema_migrations                     | table | example_db_user
 public | security_audit_events                 | table | example_db_user
 public | service_zone_rules                    | table | example_db_user
 public | service_zones                         | table | example_db_user
 public | states                                | table | example_db_user
 public | system_health_metrics                 | table | example_db_user
 public | task_assignment_history               | table | example_db_user
 public | task_commission_calculations          | table | example_db_user
 public | task_form_submissions                 | table | example_db_user
 public | template_reports                      | table | example_db_user
 public | territoryAssignmentAudit              | table | example_db_user
 public | trusted_devices                       | table | example_db_user
 public | userAreaAssignments                   | table | example_db_user
 public | userClientAssignments                 | table | example_db_user
 public | userPincodeAssignments                | table | example_db_user
 public | userProductAssignments                | table | example_db_user
 public | users                                 | table | example_db_user
 public | verificationTypes                     | table | example_db_user
 public | verification_attachments              | table | example_db_user
 public | verification_task_templates           | table | example_db_user
 public | verification_task_types               | table | example_db_user
 public | verification_tasks                    | table | example_db_user
 public | verifications                         | table | example_db_user
 public | visits                                | table | example_db_user
 public | zone_rate_type_mapping                | table | example_db_user
(93 rows)

