code,area,cityName,state,country
400029,A I Staff Colony S.O,Mumbai,MAHARASHTRA,India
400065,Aareymilk Colony S.O,Mumbai,MAHARASHTRA,India
400011,Agripada S.O,Mumbai,MAHARASHTRA,India
400004,Ambewadi S.O (Mumbai),Mumbai,MAHARASHTRA,India
400069,Andheri East S.O,Mumbai,MAHARASHTRA,India
400053,Andheri H.O,Mumbai,MAHARASHTRA,India
400058,Andheri Railway Station S.O,Mumbai,MAHARASHTRA,India
400037,Antop Hill S.O,Mumbai,MAHARASHTRA,India
400094,Anushakti Nagar S.O,Mumbai,MAHARASHTRA,India
400005,Asvini S.O,Mumbai,MAHARASHTRA,India
400053,Azad Nagar S.O (Mumbai),Mumbai,MAHARASHTRA,India
400037,B P T Colony S.O,Mumbai,MAHARASHTRA,India
400051,B.N. Bhavan S.O,Mumbai,MAHARASHTRA,India
400003,B.P.Lane S.O,Mumbai,MAHARASHTRA,India
400050,Bandra West S.O,Mumbai,MAHARASHTRA,India
400051,Bandra(East) S.O,Mumbai,MAHARASHTRA,India
400104,Bangur Nagar S.O,Mumbai,MAHARASHTRA,India
400085,BARC S.O,Mumbai,MAHARASHTRA,India
400084,Barve Nagar S.O,Mumbai,MAHARASHTRA,India
400001,Bazargate S.O,Mumbai,MAHARASHTRA,India
400075,Best Staff Colony S.O,Mumbai,MAHARASHTRA,India
400012,BEST STaff Quarters S.O,Mumbai,MAHARASHTRA,India
400082,Bhandup Complex S.O,Mumbai,MAHARASHTRA,India
400042,Bhandup East S.O,Mumbai,MAHARASHTRA,India
400078,Bhandup Ind. Estate S.O,Mumbai,MAHARASHTRA,India
400078,Bhandup West S.O,Mumbai,MAHARASHTRA,India
400007,Bharat Nagar S.O (Mumbai),Mumbai,MAHARASHTRA,India
400028,Bhawani Shankar Rd S.O,Mumbai,MAHARASHTRA,India
400028,Bhawani Shankar S.O,Mumbai,MAHARASHTRA,India
400066,Borivali East S.O,Mumbai,MAHARASHTRA,India
400091,Borivali H.O,Mumbai,MAHARASHTRA,India
400092,Borivali West S.O,Mumbai,MAHARASHTRA,India
400037,C G S Colony S.O,Mumbai,MAHARASHTRA,India
400020,Central Building S.O,Mumbai,MAHARASHTRA,India
400030,Century Mill S.O,Mumbai,MAHARASHTRA,India
400093,Chakala Midc S.O,Mumbai,MAHARASHTRA,India
400012,Chamarbaug S.O,Mumbai,MAHARASHTRA,India
400067,Charkop S.O,Mumbai,MAHARASHTRA,India
400004,Charni Road S.O,Mumbai,MAHARASHTRA,India
400004,Chaupati S.O,Mumbai,MAHARASHTRA,India
400074,Chembur Extension S.O,Mumbai,MAHARASHTRA,India
400071,Chembur H.O,Mumbai,MAHARASHTRA,India
400089,Chembur Rs S.O,Mumbai,MAHARASHTRA,India
400009,Chinchbunder H.O,Mumbai,MAHARASHTRA,India
400011,Chinchpokli S.O,Mumbai,MAHARASHTRA,India
400022,Chunabhatti S.O,Mumbai,MAHARASHTRA,India
400020,Churchgate S.O,Mumbai,MAHARASHTRA,India
400005,Colaba Bazar S.O,Mumbai,MAHARASHTRA,India
400005,Colaba S.O,Mumbai,MAHARASHTRA,India
400039,Colaba S.O,Mumbai,MAHARASHTRA,India
400023,Fort S.O,Mumbai,MAHARASHTRA,India
400033,Cotton Exchange S.O,Mumbai,MAHARASHTRA,India
400026,Cumballa Hill S.O,Mumbai,MAHARASHTRA,India
400026,Cumballa Sea Face S.O,Mumbai,MAHARASHTRA,India
400043,D.M. Colony S.O,Mumbai,MAHARASHTRA,India
400014,Dadar Colony S.O,Mumbai,MAHARASHTRA,India
400014,Dadar H.O,Mumbai,MAHARASHTRA,India
400068,Dahisar RS S.O,Mumbai,MAHARASHTRA,India
400068,Dahisar S.O,Mumbai,MAHARASHTRA,India
400052,Danda S.O,Mumbai,MAHARASHTRA,India
400066,Daulat Nagar S.O (Mumbai),Mumbai,MAHARASHTRA,India
400013,Delisle Road S.O,Mumbai,MAHARASHTRA,India
400017,Dharavi Road S.O,Mumbai,MAHARASHTRA,India
400017,Dharavi S.O,Mumbai,MAHARASHTRA,India
400010,Dockyard Road S.O,Mumbai,MAHARASHTRA,India
400026,Dr Deshmukh Marg S.O,Mumbai,MAHARASHTRA,India
400008,Falkland Road S.O,Mumbai,MAHARASHTRA,India
400074,FCI S.O,Mumbai,MAHARASHTRA,India
400086,Ghatkopar West S.O,Mumbai,MAHARASHTRA,India
400004,Girgaon S.O,Mumbai,MAHARASHTRA,India
400028,Gokhale Road S.O (Mumbai),Mumbai,MAHARASHTRA,India
400063,Goregaon East S.O,Mumbai,MAHARASHTRA,India
400104,Goregaon RS S.O,Mumbai,MAHARASHTRA,India
400104,Goregaon S.O (Mumbai),Mumbai,MAHARASHTRA,India
400088,Govandi S.O,Mumbai,MAHARASHTRA,India
400051,Government Colony S.O,Mumbai,MAHARASHTRA,India
400026,Gowalia Tank S.O,Mumbai,MAHARASHTRA,India
400007,Grant Road S.O,Mumbai,MAHARASHTRA,India
400058,H.M.P. School S.O,Mumbai,MAHARASHTRA,India
400012,Haffkin Institute S.O,Mumbai,MAHARASHTRA,India
400011,Haines Road S.O,Mumbai,MAHARASHTRA,India
400034,Haji Ali S.O,Mumbai,MAHARASHTRA,India
400057,Hanuman Road S.O,Mumbai,MAHARASHTRA,India
400032,High Court Building S.O (Mumbai),Mumbai,MAHARASHTRA,India
400005,Holiday Camp S.O,Mumbai,MAHARASHTRA,India
400095,Ins Hamla S.O,Mumbai,MAHARASHTRA,India
400099,International Airport S.O,Mumbai,MAHARASHTRA,India
400056,IRLA S.O,Mumbai,MAHARASHTRA,India
400059,J.B. Nagar S.O,Mumbai,MAHARASHTRA,India
400008,J.J.Hospital S.O,Mumbai,MAHARASHTRA,India
400078,J.M. Road S.O,Mumbai,MAHARASHTRA,India
400011,Jacob Circle S.O,Mumbai,MAHARASHTRA,India
400060,Jogeshwari East S.O,Mumbai,MAHARASHTRA,India
400102,Jogeshwari West S.O,Mumbai,MAHARASHTRA,India
400049,Juhu S.O,Mumbai,MAHARASHTRA,India
400033,Kalachowki S.O,Mumbai,MAHARASHTRA,India
400002,Kalbadevi H.O,Mumbai,MAHARASHTRA,India
400008,Kamathipura S.O,Mumbai,MAHARASHTRA,India
400101,Kandivali East S.O,Mumbai,MAHARASHTRA,India
400067,Kandivali West S.O,Mumbai,MAHARASHTRA,India
400083,Kannamwar Nagar S.O,Mumbai,MAHARASHTRA,India
400016,Kapad Bazar S.O,Mumbai,MAHARASHTRA,India
400068,Ketkipada B.O,Mumbai,MAHARASHTRA,India
400052,Khar Colony S.O,Mumbai,MAHARASHTRA,India
400052,Khar Delivery S.O,Mumbai,MAHARASHTRA,India
400095,Kharodi S.O,Mumbai,MAHARASHTRA,India
400051,Kherwadi S.O,Mumbai,MAHARASHTRA,India
400031,Kidwai Nagar S.O (Mumbai),Mumbai,MAHARASHTRA,India
400070,Kurla North S.O,Mumbai,MAHARASHTRA,India
400070,Kurla S.O,Mumbai,MAHARASHTRA,India
400033,L B S N E collage S.O,Mumbai,MAHARASHTRA,India
400012,Lal Baug S.O,Mumbai,MAHARASHTRA,India
400064,Liberty Garden S.O,Mumbai,MAHARASHTRA,India
400008,M A Marg S.O,Mumbai,MAHARASHTRA,India
400001,M.P.T. S.O,Mumbai,MAHARASHTRA,India
400061,Madh B.O,Mumbai,MAHARASHTRA,India
400004,Madhavbaug S.O,Mumbai,MAHARASHTRA,India
